State_Code,State_Abv,Offense_Type,Total_Offenses
37,NC,Stolen Property Offenses,5592
38,ND,Arson,105
38,ND,Bribery,3
38,ND,Burglary/ Breaking & Entering,2983
38,ND,Counterfeiting/ Forgery,579
38,ND,Destruction/ Damage/ Vandalism ,4843
38,ND,Embezzlement,99
38,ND,Extortion/ Blackmail,84
38,ND,Fraud Offenses,3032
38,ND,Larceny/ Theft Offenses,11598
38,ND,Motor Vehicle Theft,2085
38,ND,Robbery,191
38,ND,Stolen Property Offenses,731
39,OH,Arson,1012
39,OH,Bribery,18
39,OH,Burglary/ Breaking & Entering,27867
39,OH,Counterfeiting/ Forgery,2604
39,OH,Destruction/ Damage/ Vandalism ,60964
39,OH,Embezzlement,138
39,OH,Extortion/ Blackmail,500
39,OH,Fraud Offenses,34274
39,OH,Larceny/ Theft Offenses,131168
39,OH,Motor Vehicle Theft,19393
39,OH,Robbery,6613
39,OH,Stolen Property Offenses,4041
40,OK,Arson,834
40,OK,Bribery,13
40,OK,Burglary/ Breaking & Entering,20469
40,OK,Counterfeiting/ Forgery,3102
40,OK,Destruction/ Damage/ Vandalism ,22946
40,OK,Embezzlement,1912
40,OK,Extortion/ Blackmail,420
40,OK,Fraud Offenses,15471
40,OK,Larceny/ Theft Offenses,64803
40,OK,Motor Vehicle Theft,15256
40,OK,Robbery,1772
40,OK,Stolen Property Offenses,3317
41,OR,Arson,1402
41,OR,Bribery,11
41,OR,Burglary/ Breaking & Entering,13278
41,OR,Counterfeiting/ Forgery,2642
41,OR,Destruction/ Damage/ Vandalism ,36405
41,OR,Embezzlement,238
41,OR,Extortion/ Blackmail,226
41,OR,Fraud Offenses,16021
41,OR,Larceny/ Theft Offenses,79546
41,OR,Motor Vehicle Theft,19241
41,OR,Robbery,2498
41,OR,Stolen Property Offenses,1378
42,PA,Arson,544
42,PA,Bribery,3
42,PA,Burglary/ Breaking & Entering,4690
42,PA,Counterfeiting/ Forgery,276
42,PA,Destruction/ Damage/ Vandalism ,15707
42,PA,Embezzlement,170
42,PA,Extortion/ Blackmail,112
42,PA,Fraud Offenses,10492
42,PA,Larceny/ Theft Offenses,31604
42,PA,Motor Vehicle Theft,7344
42,PA,Robbery,3886
42,PA,Stolen Property Offenses,321
44,RI,Arson,95
44,RI,Bribery,4
44,RI,Burglary/ Breaking & Entering,1542
44,RI,Counterfeiting/ Forgery,495
44,RI,Destruction/ Damage/ Vandalism ,6065
44,RI,Embezzlement,99
44,RI,Extortion/ Blackmail,64
44,RI,Fraud Offenses,3561
44,RI,Larceny/ Theft Offenses,10398
44,RI,Motor Vehicle Theft,1635
44,RI,Robbery,278
44,RI,Stolen Property Offenses,462
45,SC,Arson,677
45,SC,Bribery,11
45,SC,Burglary/ Breaking & Entering,18353
45,SC,Counterfeiting/ Forgery,3522
45,SC,Destruction/ Damage/ Vandalism ,34272
45,SC,Embezzlement,774
45,SC,Extortion/ Blackmail,269
45,SC,Fraud Offenses,20095
45,SC,Larceny/ Theft Offenses,93193
45,SC,Motor Vehicle Theft,13937
45,SC,Robbery,2516
45,SC,Stolen Property Offenses,4262
46,SD,Arson,72
46,SD,Bribery,5
46,SD,Burglary/ Breaking & Entering,2024
46,SD,Counterfeiting/ Forgery,580
46,SD,Destruction/ Damage/ Vandalism ,4306
46,SD,Embezzlement,183
46,SD,Extortion/ Blackmail,23
46,SD,Fraud Offenses,1732
46,SD,Larceny/ Theft Offenses,10572
46,SD,Motor Vehicle Theft,1959
46,SD,Robbery,169
46,SD,Stolen Property Offenses,307
47,TN,Arson,936
47,TN,Bribery,24
47,TN,Burglary/ Breaking & Entering,22517
47,TN,Counterfeiting/ Forgery,4597
47,TN,Destruction/ Damage/ Vandalism ,45554
47,TN,Embezzlement,1430
47,TN,Extortion/ Blackmail,609
47,TN,Fraud Offenses,25247
47,TN,Larceny/ Theft Offenses,112912
47,TN,Motor Vehicle Theft,20142
47,TN,Robbery,4924
47,TN,Stolen Property Offenses,2723
48,TX,Arson,2921
48,TX,Bribery,112
48,TX,Burglary/ Breaking & Entering,91628
48,TX,Counterfeiting/ Forgery,18646
48,TX,Destruction/ Damage/ Vandalism ,165521
48,TX,Embezzlement,2394
48,TX,Extortion/ Blackmail,775
48,TX,Fraud Offenses,98477
48,TX,Larceny/ Theft Offenses,452357
48,TX,Motor Vehicle Theft,87047
48,TX,Robbery,22438
48,TX,Stolen Property Offenses,4401
49,UT,Arson,256
49,UT,Bribery,7
49,UT,Burglary/ Breaking & Entering,6968
49,UT,Counterfeiting/ Forgery,1812
49,UT,Destruction/ Damage/ Vandalism ,23747
49,UT,Embezzlement,82
49,UT,Extortion/ Blackmail,309
49,UT,Fraud Offenses,12751
49,UT,Larceny/ Theft Offenses,50959
49,UT,Motor Vehicle Theft,7960
49,UT,Robbery,1038
49,UT,Stolen Property Offenses,1860
50,VT,Arson,43
50,VT,Bribery,0
50,VT,Burglary/ Breaking & Entering,1129
50,VT,Counterfeiting/ Forgery,179
50,VT,Destruction/ Damage/ Vandalism ,3249
50,VT,Embezzlement,59
50,VT,Extortion/ Blackmail,17
50,VT,Fraud Offenses,1455
50,VT,Larceny/ Theft Offenses,7006
50,VT,Motor Vehicle Theft,450
50,VT,Robbery,65
50,VT,Stolen Property Offenses,165
51,VA,Arson,647
51,VA,Bribery,30
51,VA,Burglary/ Breaking & Entering,10464
51,VA,Counterfeiting/ Forgery,3489
51,VA,Destruction/ Damage/ Vandalism ,47560
51,VA,Embezzlement,1569
51,VA,Extortion/ Blackmail,814
51,VA,Fraud Offenses,36400
51,VA,Larceny/ Theft Offenses,104537
51,VA,Motor Vehicle Theft,11248
51,VA,Robbery,2929
51,VA,Stolen Property Offenses,1326
53,WA,Arson,1587
53,WA,Bribery,11
53,WA,Burglary/ Breaking & Entering,39475
53,WA,Counterfeiting/ Forgery,3560
53,WA,Destruction/ Damage/ Vandalism ,77062
53,WA,Embezzlement,140
53,WA,Extortion/ Blackmail,718
53,WA,Fraud Offenses,24008
53,WA,Larceny/ Theft Offenses,164309
53,WA,Motor Vehicle Theft,35326
53,WA,Robbery,5680
53,WA,Stolen Property Offenses,5675
54,WV,Arson,237
54,WV,Bribery,4
54,WV,Burglary/ Breaking & Entering,3344
54,WV,Counterfeiting/ Forgery,663
54,WV,Destruction/ Damage/ Vandalism ,5807
54,WV,Embezzlement,101
54,WV,Extortion/ Blackmail,13
54,WV,Fraud Offenses,2615
54,WV,Larceny/ Theft Offenses,15198
54,WV,Motor Vehicle Theft,1797
54,WV,Robbery,198
54,WV,Stolen Property Offenses,728
55,WI,Arson,474
55,WI,Bribery,0
55,WI,Burglary/ Breaking & Entering,9298
55,WI,Counterfeiting/ Forgery,2005
55,WI,Destruction/ Damage/ Vandalism ,25830
55,WI,Embezzlement,540
55,WI,Extortion/ Blackmail,275
55,WI,Fraud Offenses,15565
55,WI,Larceny/ Theft Offenses,57234
55,WI,Motor Vehicle Theft,15950
55,WI,Robbery,2648
55,WI,Stolen Property Offenses,1571
56,WY,Arson,52
56,WY,Bribery,1
